People,Families,Locations,Events,TextChunk
Alice Vu,Operations,"London, UK",Joined Cross-Cultural Communication Workshop,"Alice Vu is part of the Operations team, based in London, UK, and recently joined cross-cultural communication workshop."
Julia Luong,Human Resources,"London, UK",Joined International Business Roundtable,"Julia Luong is part of the Human Resources team, based in London, UK, and recently joined international business roundtable."
Bob Ly,Operations,"Bangkok, Thailand",Participated in Corporate Social Responsibility Event,"Bob Ly is part of the Operations team, based in Bangkok, Thailand, and recently participated in corporate social responsibility event."
Julia Luong,Sales,Singapore,Attended Remote Work Productivity Webinar,"Julia Luong is part of the Sales team, based in Singapore, and recently attended remote work productivity webinar."
Quinn Hoang,Human Resources,"Seoul, South Korea",Presented at Internal Innovation Day,"Quinn Hoang is part of the Human Resources team, based in Seoul, South Korea, and recently presented at internal innovation day."
Laura Hoang,Data Science,"Manila, Philippines",Engaged in Blockchain for Finance Webinar,"Laura Hoang is part of the Data Science team, based in Manila, Philippines, and recently engaged in blockchain for finance webinar."
Edward Truong,Product,"Bangalore, India",Completed AWS Cloud Practitioner Certification,"Edward Truong is part of the Product team, based in Bangalore, India, and recently completed aws cloud practitioner certification."
Julia Chau,Data Science,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Julia Chau is part of the Data Science team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Rachel Bui,Human Resources,Singapore,Joined Global Marketing Summit,"Rachel Bui is part of the Human Resources team, based in Singapore, and recently joined global marketing summit."
Diana Mai,Engineering,"Hanoi, Vietnam",Joined Cross-Cultural Communication Workshop,"Diana Mai is part of the Engineering team, based in Hanoi, Vietnam, and recently joined cross-cultural communication workshop."
Samuel Bui,Sales,"Melbourne, Australia",Participated in Regional Hackathon 2024,"Samuel Bui is part of the Sales team, based in Melbourne, Australia, and recently participated in regional hackathon 2024."
George Tran,Marketing,"Beijing, China",Spoke at the Annual Finance Forum,"George Tran is part of the Marketing team, based in Beijing, China, and recently spoke at the annual finance forum."
Laura Mai,Operations,"Sydney, Australia",Completed Advanced Cybersecurity Training,"Laura Mai is part of the Operations team, based in Sydney, Australia, and recently completed advanced cybersecurity training."
Bob Do,Engineering,"Hanoi, Vietnam",Joined Cross-Cultural Communication Workshop,"Bob Do is part of the Engineering team, based in Hanoi, Vietnam, and recently joined cross-cultural communication workshop."
Tina Ton,Marketing,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"Tina Ton is part of the Marketing team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Isaac Phan,Product,"Mumbai, India",Participated in Regional Hackathon 2024,"Isaac Phan is part of the Product team, based in Mumbai, India, and recently participated in regional hackathon 2024."
Fiona Do,Finance,"Manila, Philippines",Presented at Machine Learning Meetup,"Fiona Do is part of the Finance team, based in Manila, Philippines, and recently presented at machine learning meetup."
Charlie Dang,Management,"Ho Chi Minh City, Vietnam",Engaged in Blockchain for Finance Webinar,"Charlie Dang is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently engaged in blockchain for finance webinar."
Edward Dang,Operations,"Sydney, Australia",Completed Advanced Cybersecurity Training,"Edward Dang is part of the Operations team, based in Sydney, Australia, and recently completed advanced cybersecurity training."
Fiona Bui,Legal,"Ho Chi Minh City, Vietnam",Joined Cross-Cultural Communication Workshop,"Fiona Bui is part of the Legal team, based in Ho Chi Minh City, Vietnam, and recently joined cross-cultural communication workshop."
Laura Huynh,Human Resources,"Tokyo, Japan",Finished Data Analytics with Python Course,"Laura Huynh is part of the Human Resources team, based in Tokyo, Japan, and recently finished data analytics with python course."
Charlie Le,Marketing,"Da Nang, Vietnam",Joined Team Building Offsite in Da Nang,"Charlie Le is part of the Marketing team, based in Da Nang, Vietnam, and recently joined team building offsite in da nang."
Samuel Chau,Product,"Bangkok, Thailand",Presented at Internal Innovation Day,"Samuel Chau is part of the Product team, based in Bangkok, Thailand, and recently presented at internal innovation day."
Fiona Ta,Legal,"Sydney, Australia",Joined International Business Roundtable,"Fiona Ta is part of the Legal team, based in Sydney, Australia, and recently joined international business roundtable."
Quinn Pham,Product,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Quinn Pham is part of the Product team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Kevin Le,Marketing,"Seoul, South Korea",Attended Agile Project Management Workshop,"Kevin Le is part of the Marketing team, based in Seoul, South Korea, and recently attended agile project management workshop."
Isaac Phan,Operations,"Hanoi, Vietnam",Attended AI for Business Leaders Webinar,"Isaac Phan is part of the Operations team, based in Hanoi, Vietnam, and recently attended ai for business leaders webinar."
Quinn Vu,Operations,"Paris, France",Completed Emotional Intelligence Training,"Quinn Vu is part of the Operations team, based in Paris, France, and recently completed emotional intelligence training."
Victor Ngo,Human Resources,Singapore,Presented at Internal Innovation Day,"Victor Ngo is part of the Human Resources team, based in Singapore, and recently presented at internal innovation day."
Laura Truong,Engineering,"Seoul, South Korea",Finished Data Analytics with Python Course,"Laura Truong is part of the Engineering team, based in Seoul, South Korea, and recently finished data analytics with python course."
George Le,Product,"Berlin, Germany",Volunteered at Community Tech Fair,"George Le is part of the Product team, based in Berlin, Germany, and recently volunteered at community tech fair."
Bob Ton,Legal,"Ho Chi Minh City, Vietnam",Participated in Corporate Social Responsibility Event,"Bob Ton is part of the Legal team, based in Ho Chi Minh City, Vietnam, and recently participated in corporate social responsibility event."
Quinn Ton,Legal,"London, UK",Joined International Business Roundtable,"Quinn Ton is part of the Legal team, based in London, UK, and recently joined international business roundtable."
Charlie Bui,Engineering,"Bangalore, India",Completed Advanced Cybersecurity Training,"Charlie Bui is part of the Engineering team, based in Bangalore, India, and recently completed advanced cybersecurity training."
Isaac Mai,Data Science,"Bangalore, India",Attended Remote Work Productivity Webinar,"Isaac Mai is part of the Data Science team, based in Bangalore, India, and recently attended remote work productivity webinar."
Victor Nguyen,Legal,"Bangkok, Thailand",Attended Agile Project Management Workshop,"Victor Nguyen is part of the Legal team, based in Bangkok, Thailand, and recently attended agile project management workshop."
Hannah Huynh,Legal,"Melbourne, Australia",Joined Cross-Cultural Communication Workshop,"Hannah Huynh is part of the Legal team, based in Melbourne, Australia, and recently joined cross-cultural communication workshop."
Edward Huynh,Finance,"Seoul, South Korea",Volunteered at Community Tech Fair,"Edward Huynh is part of the Finance team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Victor Ta,Human Resources,"Jakarta, Indonesia",Joined Team Building Offsite in Da Nang,"Victor Ta is part of the Human Resources team, based in Jakarta, Indonesia, and recently joined team building offsite in da nang."
Olivia Nguyen,Management,"Hanoi, Vietnam",Spoke at the Annual Finance Forum,"Olivia Nguyen is part of the Management team, based in Hanoi, Vietnam, and recently spoke at the annual finance forum."
Edward Ngo,Engineering,"Melbourne, Australia",Presented at Internal Innovation Day,"Edward Ngo is part of the Engineering team, based in Melbourne, Australia, and recently presented at internal innovation day."
Tina Ton,Legal,Singapore,Presented at Machine Learning Meetup,"Tina Ton is part of the Legal team, based in Singapore, and recently presented at machine learning meetup."
Isaac Truong,Marketing,"Paris, France",Spoke at the Annual Finance Forum,"Isaac Truong is part of the Marketing team, based in Paris, France, and recently spoke at the annual finance forum."
Samuel Le,Human Resources,"Berlin, Germany",Attended Agile Project Management Workshop,"Samuel Le is part of the Human Resources team, based in Berlin, Germany, and recently attended agile project management workshop."
Hannah Vu,Data Science,"Bangalore, India",Joined Cross-Cultural Communication Workshop,"Hannah Vu is part of the Data Science team, based in Bangalore, India, and recently joined cross-cultural communication workshop."
Samuel Ta,Legal,"Hanoi, Vietnam",Presented at Machine Learning Meetup,"Samuel Ta is part of the Legal team, based in Hanoi, Vietnam, and recently presented at machine learning meetup."
Bob Trinh,Marketing,"Seoul, South Korea",Volunteered at Community Tech Fair,"Bob Trinh is part of the Marketing team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Paul Truong,Sales,"Beijing, China",Attended AI for Business Leaders Webinar,"Paul Truong is part of the Sales team, based in Beijing, China, and recently attended ai for business leaders webinar."
Diana Chau,Human Resources,"Hanoi, Vietnam",Joined Cross-Cultural Communication Workshop,"Diana Chau is part of the Human Resources team, based in Hanoi, Vietnam, and recently joined cross-cultural communication workshop."
Olivia Trinh,Operations,"Beijing, China",Joined Team Building Offsite in Da Nang,"Olivia Trinh is part of the Operations team, based in Beijing, China, and recently joined team building offsite in da nang."
Quinn Nguyen,Customer Success,"London, UK",Completed Advanced Cybersecurity Training,"Quinn Nguyen is part of the Customer Success team, based in London, UK, and recently completed advanced cybersecurity training."
